valid	Raising funds to purchase school uniforms and books for slum children.
valid	Need funds to build fencing for a wildlife rehabilitation center.
valid	Raising funds to purchase school uniforms and books for slum children.
invalid	Need funds to buy a sports car.
invalid	Want to impress my friends with a yacht trip.
invalid	Want to upgrade my smartphone to the latest model.
valid	Need funds to build fencing for a wildlife rehabilitation center.
valid	We are rescuing injured street dogs and need help with treatment costs.
valid	I urgently need help funding treatment for stage 3 breast cancer at Tata Memorial Hospital.
valid	My child is suffering from a congenital heart condition and surgery costs are high.
valid	Organizing a medical camp for villagers with no access to doctors.
valid	Organizing a medical camp for villagers with no access to doctors.
invalid	Want to impress my friends with a yacht trip.
valid	We are rescuing injured street dogs and need help with treatment costs.
valid	Raising funds to purchase school uniforms and books for slum children.
valid	My child is suffering from a congenital heart condition and surgery costs are high.
valid	Creating a shelter for stray puppies suffering from parvovirus.
invalid	Want to upgrade my smartphone to the latest model.
valid	Support our school in a remote village to build classrooms and provide learning materials.
valid	Raising funds to build a safe shelter for abandoned street animals in Pune.
valid	Support our school in a remote village to build classrooms and provide learning materials.
valid	Organizing a medical camp for villagers with no access to doctors.
valid	We are rescuing injured street dogs and need help with treatment costs.
valid	Building a library for underprivileged children in rural Bihar.
valid	Raising funds to purchase school uniforms and books for slum children.
valid	Need funds to build fencing for a wildlife rehabilitation center.
invalid	Planning to host a lavish wedding, support me!
valid	Creating a shelter for stray puppies suffering from parvovirus.
invalid	Want to impress my friends with a yacht trip.
valid	Need funds to build fencing for a wildlife rehabilitation center.
valid	Raising funds for surgery for my father's kidney transplant at AIIMS.
valid	Building a library for underprivileged children in rural Bihar.
valid	Building a library for underprivileged children in rural Bihar.
valid	We are rescuing injured street dogs and need help with treatment costs.
valid	We are rescuing injured street dogs and need help with treatment costs.
invalid	Help me buy a new gaming laptop.
valid	Raising funds to purchase school uniforms and books for slum children.
valid	Raising funds for surgery for my father's kidney transplant at AIIMS.
valid	Need funds to build fencing for a wildlife rehabilitation center.
valid	Need funds to build fencing for a wildlife rehabilitation center.
valid	Raising funds for surgery for my father's kidney transplant at AIIMS.
invalid	Just want to have a good time, fund me.
valid	We are setting up a vaccination drive for stray animals in our locality.
valid	Creating a shelter for stray puppies suffering from parvovirus.
invalid	Help me buy a new gaming laptop.
valid	Raising funds for surgery for my father's kidney transplant at AIIMS.
valid	We are rescuing injured street dogs and need help with treatment costs.
valid	Need funds to build fencing for a wildlife rehabilitation center.
valid	Need help for my mother’s chemotherapy sessions in a government hospital.
invalid	Just want to have a good time, fund me.
valid	Raising funds to purchase school uniforms and books for slum children.
invalid	Donate so I can go on a Europe trip.
valid	Building a library for underprivileged children in rural Bihar.
valid	Organizing a medical camp for villagers with no access to doctors.
valid	Building a library for underprivileged children in rural Bihar.
valid	Organizing a medical camp for villagers with no access to doctors.
valid	Raising funds to purchase school uniforms and books for slum children.
valid	Raising funds for surgery for my father's kidney transplant at AIIMS.
valid	Need funds to build fencing for a wildlife rehabilitation center.
valid	Support our school in a remote village to build classrooms and provide learning materials.
valid	Need help for my mother’s chemotherapy sessions in a government hospital.
valid	Organizing a medical camp for villagers with no access to doctors.
valid	Creating a shelter for stray puppies suffering from parvovirus.
valid	We are setting up a vaccination drive for stray animals in our locality.
valid	Raising funds to purchase school uniforms and books for slum children.
invalid	Want to upgrade my smartphone to the latest model.
valid	We are setting up a vaccination drive for stray animals in our locality.
valid	We are rescuing injured street dogs and need help with treatment costs.
valid	Need help for my mother’s chemotherapy sessions in a government hospital.
valid	Need funds to build fencing for a wildlife rehabilitation center.
valid	Help needed for food and care of injured animals from a recent flood. Please see the attached PDF for more info.
valid	Raising funds to purchase school uniforms and books for slum children.
valid	I urgently want to open a free coding school in a rural village to help students get jobs.
valid	Organizing a medical camp for villagers with no access to doctors.
valid	We are rescuing injured street dogs and need help with treatment costs.
valid	Need help for my mother’s chemotherapy sessions in a government hospital.
valid	Building a library for underprivileged children in rural Bihar.
valid	We are rescuing injured street dogs and need help with treatment costs.
valid	Raising funds to purchase school uniforms and books for slum children.
valid	We are rescuing injured street dogs and need help with treatment costs.
invalid	Want to upgrade my smartphone to the latest model.
invalid	Need money to throw a birthday party.
valid	Raising funds to purchase school uniforms and books for slum children.
valid	Need help for my mother’s chemotherapy sessions in a government hospital.
valid	Building a library for underprivileged children in rural Bihar.
valid	Building a library for underprivileged children in rural Bihar.
invalid	Just want to have a good time, fund me.
valid	Creating a shelter for stray puppies suffering from parvovirus.
